stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,28.6,0,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,1.07,0,0,0,0,0,0,0,2.14,1.07,2.14,0,1.07,7.49,5.35,0,0,4.28,1.07,1.07,2.14,1.07,0,0,0
21Day,2.68,0,0,8.03,0,0,0,0,0,0,0,0,2.68,1.34,6.69,0,0,1.34,8.03,0,0,4.02,0,0,1.34,0,0,0,0
3Month,0,1.28,0.32,4.8,0,0.32,2.88,0,6.72,1.6,3.84,0.96,0.96,0.96,1.28,0.32,0,0,0,0.32,0.32,0.32,0.32,6.72,0,0,0.64,0.32,1.28
22Month,0,0,0.55,3.83,0,0.55,2.73,1.09,24.6,1.09,1.09,0,0,6.01,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
