stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,8.17,0,0,4.09,32.69,0,0,0,0,0
72hpf,3.21,9.63,3.21,2.14,0,0,0,0,0,1.07,2.14,12.84,0,0,177.59,33.16,1.07,21.4,0,5.35,0
21Day,0,6.69,0,0,0,0,0,0,0,1.34,0,9.37,1.34,1.34,57.56,10.71,0,8.03,0,1.34,0
3Month,0,0.32,0,0,0,0,0.32,0,0.32,0,0.32,1.28,0,0,0,0,0,0,0.32,0,0.32
22Month,0,2.19,0,0,0.55,1.09,4.37,0.55,0.55,0,0,1.64,0,0,0.55,0,0,0,1.09,0,0
