stage,Epithelial_cell,Erythrocyte,Granulocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Spermatocyte
24hpf,0,0,0,0,0,4.09,0,0,4.09,0
72hpf,1.07,2.14,0,0,0,0,0,2.14,0,0
21Day,1.34,2.68,0,0,1.34,0,2.68,0,0,0
3Month,0,0,0,0,0,0,0,0,0,0.64
22Month,0,0,0.55,1.64,0,0.55,0,0,0,0
