stage,Hepatocyte,Ionocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Spermatocyte
24hpf,0,0,0,0,12.26,0
72hpf,0,0,0,7.49,0,0
21Day,0,0,0,1.34,0,0
3Month,0.32,0.32,0.32,0.64,0,5.44
