stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,2.14,0,1.07,0,0,0,0
21Day,4.02,0,0,2.68,1.34,0,0,0,1.34,2.68,0,1.34,0,1.34,0,0,1.34
3Month,0,2.88,0,0,0,0.32,0.32,0.32,0.32,0,0,0,0,0,0.32,1.28,0
22Month,0,2.73,0.55,0,0,0,3.28,0,0,1.09,0,0,0,0,0,0,0.55
