stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0
21Day,0,0,2.68,0,1.34,0,0,0,0,0,0,1.34,0,0,0,0,1.34,1.34,2.68,0,0,0,0,0,0
3Month,1.92,0,4.8,0.32,0,0,0.32,0,3.84,0.64,1.28,0,0.64,0,0.64,0,0.32,0,0.64,0.32,3.2,0,12.16,3.2,0.32
22Month,0.55,0.55,0.55,0,0,0.55,0.55,2.19,16.4,1.09,1.09,0,0.55,1.09,2.19,0.55,0.55,0,0.55,1.09,2.19,0.55,0.55,0,0
