stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,9.63,0,0,0,0,0,0
21Day,0,0,22.76,2.68,2.68,0,0,0,0,0,1.34,1.34,0,0,0,41.49,0,0,0,1.34,5.35,0
3Month,0.96,0.32,3.2,0,0,0.64,0,0.64,0,0.32,0.32,0.32,0.32,0.64,0,21.44,0.32,0.64,0.64,0,0,0.32
22Month,0.55,0,3.83,0,0,0.55,0.55,8.2,0.55,0,0,0,0,1.09,1.64,29.52,0.55,3.83,0.55,0.55,0,0
