stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,551.66,0,4.09,0,0,0,0,0,0,0,0,0,0,12.26,20.43,0,0,0,0,151.2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,176.52,1.07,2.14,9.63,1.07,0,0,0,0,0,0,1.07,2.14,0,10.7,0,0,0,14.98,7.49,0,0,5.35,0,0,1.07,1.07,0,2.14,0,0,0
21Day,139.21,2.68,5.35,5.35,1.34,0,0,1.34,0,1.34,0,0,2.68,4.02,26.77,0,1.34,0,28.11,12.05,0,5.35,2.68,2.68,0,4.02,2.68,1.34,0,0,0,0
3Month,10.56,0.32,6.4,0.64,0,0.96,0.64,4.8,0.96,0.32,0.96,0.32,0.32,0.32,2.56,0.32,3.52,1.92,0,0.32,1.92,5.12,2.24,1.28,109.74,0.32,0,0,0.32,0.96,18.24,6.4
22Month,1.09,0,0.55,0,0,0,0,15.31,0,0,1.09,0,0,0,1.64,0,1.09,0,1.09,0,2.19,0,1.09,0,35.53,0,0,0,0,0,0,0
