stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,0,8.17,294.22,0,0,0,0,16.35,57.21,0,0,192.06,0,0,0,0,0,0,0,0
72hpf,8.56,2.14,0,8.56,1.07,4.28,0,0,0,0,1.07,1.07,0,0,0,0,3.21,6.42,0,405.45,0,0,2.14,0,18.19,19.26,1.07,0,211.82,0,0,3.21,0,3.21,0,0,0
21Day,17.4,24.09,2.68,40.16,0,2.68,0,2.68,0,0,0,0,0,0,2.68,5.35,2.68,45.51,2.68,562.18,1.34,0,2.68,0,17.4,17.4,0,0,228.89,6.69,0,0,1.34,10.71,0,0,0
3Month,0.32,96.62,0.96,284.11,0,0,1.92,0,42.55,2.56,11.84,0,18.24,6.4,0.32,13.44,6.4,104.62,9.6,139.82,102.7,0.64,0.96,0.64,2.56,0.64,0.32,0,0.32,4.48,4.8,0,0,0.64,1.6,0.96,4.16
22Month,0,94.57,0,55.76,0,0,0.55,0,10.39,0.55,8.75,0.55,33.89,0.55,0.55,13.12,1.64,46.47,8.2,150.33,24.6,0.55,1.09,0,2.19,0.55,1.09,1.09,1.09,1.09,6.01,0,0,1.64,0,0,0.55
