stage,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,T_cell
24hpf,0,0,4.09,4.09,0
72hpf,0,1.07,0,0,0
21Day,1.34,0,1.34,0,1.34
22Month,4.92,0,0,0,0.55
