stage,Epithelial_cell,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Primordial_germ_cell
3Month,0.96,0,0,1.28,1.6,0
22Month,0,4.37,1.09,0.55,1.64,0.55
