stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,0,0,1.07,0,0,0,0
3Month,0.32,0.64,0.32,0.32,0.32,0,0.32,1.6,0.32,3.52
