stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,0,0,0,29.95,0,0,0,0,0,0,0,0,0,0,0,37.44,0,2.14,0,0,0,0,5.35,1.07,0,0,0,0,0,0,0,0
21Day,1.34,0,0,52.2,0,2.68,0,0,0,0,1.34,0,0,0,0,49.53,0,13.39,0,0,1.34,0,5.35,0,0,1.34,2.68,0,0,0,0,0
3Month,0,0.64,0.32,67.51,0.32,0,0.96,0.64,1.92,0,7.68,3.52,0.32,4.16,2.24,323.47,4.16,35.51,5.44,0.32,0.64,1.92,0,0,0.64,0,2.24,17.28,0.32,7.04,6.72,0.64
22Month,0.55,1.64,0.55,38.27,0,0,0.55,0.55,4.37,0.55,8.2,0,0.55,2.19,0.55,87.46,0,47.56,1.64,0.55,0,0,0,0,0.55,0,0,7.65,0.55,0.55,0,0
