stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,16.35,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,7.49,0,0,0,0,0,0,1.07,0,0,0,22.47,14.98,0,4.28,0,1.07,0,0,1.07,4.28,0,0,2.14,1.07,0,0,0,0,0
21Day,5.35,0,30.79,44.17,5.35,0,1.34,2.68,0,0,6.69,0,2.68,115.11,4.02,10.71,2.68,10.71,0,0,2.68,2.68,12.05,5.35,0,0,4.02,6.69,0,1.34,0,0,2.68
3Month,0,1.6,35.83,16.32,0,1.92,0,8.32,4.8,0,18.88,4.16,0,817.47,0.64,5.12,3.84,6.08,1.28,0.32,36.79,0.64,0.64,0,2.24,0.32,0.96,6.08,8.32,0,0.64,31.67,4.48
22Month,0.55,2.73,43.19,8.75,0,1.09,0,27.33,7.11,2.19,65.6,1.64,0.55,1772.8,1.09,1.64,1.64,4.92,0.55,3.28,18.04,0,1.09,0,3.28,0.55,0,0.55,9.84,0,0,1.09,2.19
