stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
72hpf,0,2.14,1.07,0,2.14,0,2.14,0,0,0,1.07
21Day,1.34,1.34,0,0,1.34,0,0,2.68,1.34,0,0
3Month,0,0.32,0,0.32,0,0.64,0.64,0,0,0.32,0
