stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,32.69,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,1.07,0,1.07,0,0,0,0,0,0
21Day,0,0,0,0,1.34,1.34,0,4.02,0,0,0,0,0,0
3Month,0,0,2.56,0.96,4.16,0,0.32,3.84,0.32,0.32,0,0,0,0.32
22Month,1.09,0.55,22.41,8.75,7.65,0.55,0,37.17,0.55,0,0,0.55,0.55,1.09
