stage,Cardiomyocyte,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,12.26,0
72hpf,0,0,1.07,1.07,2.14,0
21Day,1.34,1.34,0,0,0,1.34
