stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,8.17,0,0,12.26,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,39.58,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,12.05,0,1.34,0,0,0
3Month,0,0,0.32,0.32,0.32,0.96,0.32,0,0,0,0,0,0.32,0.32,0.32
22Month,0,0,0,0,0,3.83,0,0,0.55,0,0,0,0,0,0
