stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,7.49,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,1.34,4.02,1.34,0,0
3Month,0,0.64,5.12,0,0.64,0.96,0,2.24,0.96,2.88,1.6,0.96,0.32,0.32,0.64,0.32,0,8,0,104.62,0.64
22Month,0.55,0,1.09,0,0,0,0.55,1.64,0.55,0.55,0,0,0,0,0,0,0,10.39,0,0.55,0
