stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Osteoblast
24hpf,20.43,0,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,3.21,16.05,25.67
21Day,0,1.34,0,0,0,5.35,1.34,14.72
3Month,0,0.32,0.96,0.32,0,0,4.48,0
22Month,0,0,1.64,0.55,0.55,0,0,0
