stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,4.09,0,12.26,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,1.07,0,0,0,0,0,0,0,0,13.91,0,5.35,0,0,0,64.19,10.7,0,0,6.42,0,0,1.07,1.07,0,0,0,0
21Day,2.68,0,17.4,0,0,0,0,0,1.34,2.68,0,0,16.06,1.34,2.68,0,2.68,0,33.46,2.68,0,2.68,0,1.34,0,0,0,1.34,0,0,0
3Month,0.32,0.32,20.16,0,0.32,1.28,0.96,3.2,2.24,0,2.88,1.6,3.52,3.2,1.6,4.8,0.32,0.64,0.32,0,2.88,0.64,0,0,12.8,0.32,0,0.32,1.28,9.6,2.56
22Month,0,0,2.73,0,0,1.09,0.55,24.05,0,0,8.2,2.19,0,2.19,1.64,0,0,0,0,0,2.73,1.64,0.55,0,2.73,0.55,0,0,0,0,0
