stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1618.22,8.17,0,12.26,0,0,0,0,0,0,0,0,0,0,4.09,0,0,12.26,0,0,0,0,16.35,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,669.69,25.67,0,3.21,2.14,0,0,0,0,0,0,0,0,0,0,7.49,0,7.49,0,0,0,20.33,11.77,0,0,9.63,0,0,2.14,0,0,0,0,0
21Day,313.22,1.34,1.34,2.68,8.03,0,0,0,0,0,0,0,0,0,0,4.02,2.68,4.02,0,0,1.34,2.68,0,0,0,2.68,4.02,1.34,1.34,1.34,2.68,1.34,0,0
3Month,11.2,44.79,0.32,19.2,0,0.32,0.32,0.64,0.32,0,7.04,1.6,0,1.28,0.32,3.52,1.28,30.08,1.28,0,2.56,0,0.32,0.32,0,0,0.32,6.08,0.32,0,0,0,0.32,1.28
22Month,3.28,73.8,0,4.92,0,0.55,0,0.55,0.55,7.11,17.49,1.64,1.09,0.55,0.55,1.64,0.55,22.96,0,0.55,1.64,0,0,0,0.55,0,0,10.39,1.64,0,0,0.55,0.55,0
