stage,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,4.09,0,32.69,0
72hpf,2.14,0,0,0,0,0,1.07,5.35,1.07
21Day,0,1.34,1.34,1.34,2.68,1.34,0,0,0
