stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,2.14,0,4.28,2.14,12.84,1.07,0,1.07,0,0,1.07,1.07,0,1.07,0,0,1.07,0,0,0
21Day,0,2.68,4.02,0,0,1.34,2.68,0,8.03,5.35,2.68,0,20.08,1.34,0,0,0,0,0,0,0,2.68,0,0,0,0,0,1.34
3Month,0.96,2.88,6.4,0,3.2,1.92,30.72,1.92,0.32,43.51,2.88,0.96,28.8,1.28,0.32,0,0.64,2.88,0,0,0.32,1.92,0.64,0,0,0.32,2.88,1.6
22Month,1.09,2.19,3.28,0.55,1.09,6.56,41,1.09,1.64,39.36,0,0.55,18.04,1.09,0,0.55,1.09,0,0.55,0,1.64,0,1.09,0.55,0,0,0,2.73
