stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,3.21,1.07,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,1.34,0,0,0,0,0,0,0,0
3Month,0.64,1.92,0.32,0.64,2.56,0.96,0,0.32,0.32,3.52,1.92,2.56,0.64,0.96,0,0.64,10.88,0.32,0.32,1.28,15.68,1.6
22Month,0,0,0,1.09,1.09,0,0.55,0,0,0.55,2.19,2.19,0,0,0.55,0.55,1.64,0,0,0,0.55,0.55
