stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,12.26,0,8.17,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,1.07,0,3.21,25.67,6.42,1.07,5.35,0,1.07,1.07,0
21Day,4.02,0,1.34,1.34,0,0,0,0,0,10.71,17.4,1.34,0,4.02,2.68,0,0,0
3Month,0,1.28,0,0,0.64,0,0.96,0,0.64,0.64,0,0,0,0,0,0,0,0.32
22Month,0,0.55,0,0,0,0.55,1.64,0,0,0,0,0,0,0,0,0,0,0
