stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,1.07,1.07,0,0,0,0,1.07,0,0,0,1.07,1.07,0,0,0
21Day,2.68,5.35,1.34,0,0,0,4.02,16.06,1.34,1.34,6.69,14.72,0,0,0
3Month,0,0.64,0,0,0,0,0.32,0,0,0,0,5.12,0,4.48,0.32
22Month,0,0,0,0.55,3.28,0.55,1.09,0.55,0.55,0,0,12.57,0.55,0,0
