stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,5.35,0,0,0,3.21,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,16.05,4.28,0,0,0,0,0,0,5.35,0,0,0
21Day,0,1.34,0,2.68,0,0,0,0,0,1.34,0,0,0,0,0,0,1.34,0,0,0,26.77,0,1.34,0,0,1.34,0,0,2.68,0,0,1.34
3Month,0.32,1.28,1.28,9.6,0.32,0,0.64,2.56,6.08,29.76,4.8,0.32,17.6,1.92,5.44,2.88,4.16,0.32,0,0.96,1285.56,0.32,0,0.64,0.32,3.2,6.4,0.32,3.2,2.88,3.84,3.2
22Month,0.55,0.55,0,0.55,0,0,0,0,1.64,63.96,1.09,0,10.39,0.55,0,0,1.09,0,4.92,0,92.93,0,0,0,0,0.55,0.55,1.09,0,0.55,0,0.55
