stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0
21Day,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0,4.48,0.32,2.56,0.32,0.32,1.28,0.32,0,0.32,1.92
22Month,0,1.64,0,0,0,0,0,0,0,0,0
