stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,1.34,0,0,1.34,0,0,0,0,2.68,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0,0,0,1.6,0,0,0.64,0,27.2,3.2,0.32,0.32,0.32,0.64,0.32,0,0.96,0.32,0,152.3,0,0.32,6.08,0.32,0,0.32,6.4,0
22Month,0,1.64,1.09,1.09,0.55,0.55,3.28,0.55,13.12,1.64,1.64,0,0.55,1.09,3.28,0.55,0,0,0.55,359.7,0.55,0,6.01,0,1.09,0,0,0.55
