stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
72hpf,0,0,8.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.34,8.03,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,20.48,3.2,0,1.6,1.28,2.88,22.4,2.24,5.44,1.6,31.04,1.92,0.96,0.32,0.64,0,0.32,0.96,0,1.92,0,0.64,22.4
22Month,1.09,15.85,0,1.09,1.64,1.64,6.56,5.47,3.28,5.47,4.37,20.23,1.09,0,0,0,0.55,0.55,0.55,0.55,1.09,0.55,0,8.2
