stage,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell
72hpf,0,0,0,0,0,3.21
21Day,0,0,0,0,1.34,5.35
3Month,0.32,0.32,0,0.32,0,0
22Month,0,0,3.28,0,0,0
