stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,T_cell
72hpf,0,0,0,0,0,0,0,2.14,1.07,0,0
21Day,0,1.34,0,0,0,0,0,4.02,0,1.34,0
3Month,0,0.32,0,0,0,0,0,0.32,0,0,0.32
22Month,0.55,0,0.55,3.28,0.55,0.55,0.55,0,0,0,0
