stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,12.26,0,0,0,4.09,32.69,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,2.14,0,1.07,0,0,0,0,0,0,0,0,0,5.35,4.28,0,2.14,1.07,0,0,24.61,2.14,0,3.21,0,0,1.07,1.07,0,1.07,0,0,0
21Day,1.34,1.34,1.34,2.68,1.34,1.34,1.34,0,0,0,0,1.34,0,0,0,1.34,4.02,0,5.35,0,0,1.34,14.72,1.34,0,2.68,4.02,0,0,2.68,1.34,0,0,0,1.34
3Month,0,0.32,0.32,6.4,0.32,0,0,0.32,1.92,0,0,12.16,1.28,0,2.24,1.28,2.56,2.24,1.28,0,0.64,0.32,0,0,0.32,0.64,0,0.96,0,0,0,0,0.64,0.32,2.24
22Month,0,1.09,0.55,2.73,0,0,0,0,4.37,1.09,0,16.95,0,0.55,0.55,0,0.55,0.55,0.55,0.55,0,0,0,0.55,0.55,0,0,0,0,0,0,0,1.09,0,0.55
