stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,175.72,8.17,0,0,0,0,40.86,0,0,0,0,12.26,28.6,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,64.19,5.35,0,0,0,0,0,0,0,0,0,9.63,48.14,0,0,0,0,7.49,9.63,0,1.07,0,0,1.07,0,0,0,0
21Day,2.68,0,1.34,236.92,1.34,12.05,2.68,0,1.34,0,0,0,6.69,0,14.72,49.53,2.68,5.35,0,1.34,17.4,17.4,1.34,0,4.02,2.68,0,0,0,0,0
3Month,0.32,0.32,0.32,82.23,0.32,0,0,0.96,0.32,0,7.04,1.6,0,2.88,12.8,38.39,2.56,2.24,0.64,0.64,0.32,0,0.96,0,0.64,7.68,0,0,0.32,0.32,1.28
22Month,0,0,2.73,19.68,0,0,0,0.55,1.64,0,16.4,0,0.55,1.09,2.19,4.37,1.64,0.55,0,0,0,0,0.55,0,0,6.56,0,1.09,0,0,1.09
