stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,38.51,1.07,0,0,0,0,0,6.42,2.14,2.14,0,0,1.07
21Day,9.37,0,0,0,1.34,0,1.34,2.68,0,0,1.34,0,0
3Month,0,0.32,0.32,0.32,0.32,0.32,0.32,0,0,0,0.32,0.64,0
22Month,0.55,0,0,0,3.28,0.55,0.55,0,0,0,0,1.09,0.55
