stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,1.34,0,1.34,0,0,0
3Month,0,3.52,0.32,0.32,0,44.47,0.32,1.6,0.32,0.64,0.96,1.28,0.32,0,0.32,0.64,6.08,0.32,1.92
22Month,0,0,0,0,1.09,19.13,0,1.09,0,0,0,0,0,0,0.55,0,3.28,0,0
