stage,Cardiomyocyte,Epithelial_cell__Brain_,Erythrocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
72hpf,2.14,1.07,1.07,0,0,0,0,194.7,3.21,1.07,1.07,2.14,0,2.14,2.14,0
21Day,0,0,1.34,1.34,1.34,2.68,1.34,18.74,4.02,0,1.34,0,4.02,2.68,0,2.68
