stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,32.69,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,0,3.21,1.07,3.21,0,0,0,0,0,0,0,3.21,7.49,2.14,5.35,0,0,477.13,38.51,2.14,1.07,2.14,0,0,5.35,0,1.07,0,0
21Day,1.34,0,5.35,4.02,9.37,0,0,0,2.68,0,0,2.68,0,1.34,2.68,2.68,0,0,290.46,12.05,2.68,1.34,2.68,4.02,0,2.68,2.68,1.34,0,0
3Month,0,0,2.56,0,0,0.64,0.64,0,4.48,0.96,0.64,0.96,0,0.96,1.28,0.64,0.32,0,0,0,0,0,0,0,1.6,0,0,0,2.56,0.32
22Month,0,0.55,2.19,0,0,0.55,2.73,1.64,27.88,2.19,0,1.09,0,1.64,1.64,1.09,0,0.55,0.55,0,1.09,0,0,0,0.55,0,0.55,0,0,0
