stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0,0,0,0
21Day,0,0,1.34,2.68,0,0,0,0,6.69,0,0,1.34,0,0,2.68,0,0,0,0,0,1.34,0,0,0,32.12
3Month,1.92,1.28,8.64,0,2.56,1.6,3.52,1.92,2.24,2.88,1.28,18.24,4.16,1.6,0.96,0.64,0.32,0.32,0.64,0,0.32,4.48,2.88,0.64,143.98
22Month,0,0,0.55,0,0.55,0.55,5.47,0.55,1.09,1.09,0,8.75,1.64,0,0,0,0,0,0,0,0,0,0,0,47.01
