stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,715.12,12.26,0,8.17,0,4.09,0,0,0,0,0,0,0,4.09,4.09,20.43,0,0,0,4.09,114.42,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,177.59,1.07,0,0,2.14,0,0,0,0,0,0,0,1.07,1.07,0,5.35,0,0,0,13.91,10.7,0,0,0,0,0,1.07,2.14,0,0,0,0,0
21Day,261.01,0,0,8.03,4.02,9.37,10.71,0,0,0,0,1.34,1.34,5.35,2.68,17.4,0,0,0,16.06,13.39,0,1.34,1.34,4.02,4.02,0,0,1.34,0,0,0,1.34
3Month,8,0.64,0,3.84,0.96,0,0,1.92,0,4.48,0.96,1.28,0.32,0.64,1.92,0.64,0.64,0.64,0.96,0.64,0.64,0.32,0.96,0.64,0.64,95.66,0.32,0,0,0,0.64,72.31,3.2
22Month,2.73,0,1.09,1.09,0.55,0,0,0,1.09,14.76,0.55,1.64,0,0,1.09,2.73,0,1.64,0.55,0.55,0,0,0,0,0,28.43,0,0,0,0,0.55,0,0
