stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,20.43,0,0,20.43,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,6.42,2.14,1.07,0,0,0,0,0,0,0,0,1.07,16.05,0,23.54,0,0,5.35,492.1,51.35,0,0,7.49,0,0,5.35,0,0,1.07,0,0,0
21Day,10.71,1.34,9.37,0,9.37,0,1.34,0,0,0,0,1.34,0,1.34,6.69,2.68,42.83,0,0,0,216.84,9.37,0,2.68,2.68,5.35,0,0,1.34,5.35,2.68,0,0,0
3Month,1.28,0,3.52,0,0,0,0,0.32,2.24,3.84,0.96,0,0.64,0,2.24,0.96,27.2,23.36,0,0,7.36,1.28,0.64,0,0,0.32,4.8,0,0,0,0,0.32,1.28,0.96
22Month,0,0.55,0,0,0,0.55,0,0,0,7.11,0,0,0.55,0,0.55,0.55,14.76,0.55,0.55,0,6.56,1.09,1.09,0,0,0,3.28,0.55,0,0,0,0,0,0
