stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0,0.32,8.96,1.6,0.96,0,2.56,0,0,7.36,0,0.96,1.6,0.96,0,0.32,0,0.64,0,0.96,0,0.64,0.64
22Month,0.55,0.55,10.39,1.09,10.39,0.55,28.43,2.73,1.64,7.65,1.09,1.09,12.57,4.37,0.55,0,0.55,0,0.55,0,0.55,0,1.09
