stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,8.17,0,0,0,0,0,4.09,0,0,0,0,0,0,0,57.21,0,0,4.09,167.54,0,4.09,0,0,0,0,0,0,0,0
72hpf,6.42,3.21,3.21,7.49,19.26,4.28,0,0,0,0,0,0,0,4.28,8.56,4.28,357.31,0,0,92,47.07,1.07,10.7,0,1.07,7.49,3.21,0,1.07,0,0
21Day,1.34,0,10.71,1.34,10.71,6.69,0,1.34,0,12.05,1.34,1.34,1.34,0,13.39,1.34,219.52,0,2.68,36.14,24.09,0,2.68,5.35,0,2.68,1.34,1.34,0,0,1.34
3Month,0,0,0.32,0,0,0,0.32,0,0,0.96,0.64,0,0,0,0.64,0.64,4.16,0.32,0.32,0,0,0,0,0,1.6,0,0,0,0,0.96,0
22Month,0,0,0,0,0,0,0.55,0.55,0,5.47,0.55,0,0.55,0,0.55,0,0.55,0,0,0,0,0,0,0,5.47,0,0.55,0,0,0,0
