stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,36.78,4.09,0,0,12.26,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,0,1.07,1.07,0,0,23.54,2.14,0,0,0,0,0,0
21Day,1.34,0,1.34,1.34,0,0,0,2.68,0,0,1.34,4.02,1.34,1.34,24.09,0,0,53.54,331.96,1.34,0,0
3Month,0,0,0.96,0,0.32,1.6,5.12,0,0,0.32,0.64,1.92,0,0,0,0.64,3.52,0,0,0,22.72,5.76
22Month,0,0.55,0,0,0.55,0.55,1.09,0,0.55,0,0,3.28,0,0,0.55,0,0,0,0,0,0,0.55
