stage,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast
24hpf,4.09,0,0,4.09,8.17,4.09,85.81,0,4.09
72hpf,2.14,0,0,2.14,3.21,0,5.35,0,1.07
21Day,0,0,0,0,1.34,4.02,0,0,2.68
3Month,0,0.32,0.32,0,0,0,0,0,0
22Month,0,0,0.55,0,0,0,0,0.55,0
