stage,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Neural_cell,Osteoblast,Retinal_cell,Retinal_cone_cell
72hpf,0,0,0,0,3.21,0,1.07,0
21Day,1.34,1.34,0,0,0,1.34,8.03,18.74
22Month,0,0,6.01,0.55,0,0,0,0
