stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,T_cell
24hpf,4.09,4.09,0,0,0,4.09,0,0,32.69,0,0,0,0
72hpf,0,0,0,0,4.28,0,0,12.84,7.49,0,1.07,1.07,0
21Day,1.34,6.69,0,1.34,2.68,8.03,1.34,8.03,5.35,1.34,1.34,2.68,1.34
22Month,0.55,0.55,0.55,0,0,0,0,0,0,0,0,0,0
