stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,28.6,0,0,0,0,0,24.52,0,0,0,0,0,20.43,0,0,65.38,4.09,0,0,0,0,0,0,0,0
72hpf,5.35,2.14,4.28,6.42,0,0,0,0,1.07,0,0,5.35,2.14,4.28,104.84,8.56,0,2.14,1.07,0,0,0,1.07,0,0
21Day,1.34,4.02,9.37,14.72,0,0,0,0,1.34,0,0,4.02,8.03,17.4,28.11,1.34,0,0,0,2.68,1.34,1.34,0,0,0
3Month,0,1.28,0.96,0,0.32,0.32,0,0.32,0,0.32,0.32,1.6,8.32,0.64,0,0.32,1.28,0.96,0,0,4.48,0,0,0.64,0.64
22Month,0,0.55,0.55,0,0,0,0,1.09,0,0,0,0,1.64,1.09,0.55,0,0.55,0,0,0,7.65,0,0,0,0
