stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,1.07,0,0,0,0,0,0,0,0,1.07,0,0
21Day,6.69,1.34,0,0,0,0,0,0,0,1.34,1.34,0,0
3Month,0.32,8.64,0.32,0.96,0.32,0.32,16.64,0.32,0.32,0,0.32,3.52,2.24
22Month,0,0,0,0,1.09,0,0,0,0,0,0,0,0
