stage,Epithelial_cell,Erythrocyte,Immune_progenitor_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte
72hpf,0,1.07,0,0,1.07,1.07,0
21Day,2.68,0,1.34,1.34,1.34,0,1.34
