stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,4.09,0,4.09,4.09,0,0,0,0,0,0,4.09,4.09,8.17,40.86,0,0,12.26,261.53,0,20.43,0,0,0,4.09
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,1.07,3.21,0,7.49,0,0,8.56,21.4,0,4.28,0,1.07,0,0
21Day,4.02,0,2.68,0,1.34,0,0,0,1.34,1.34,0,0,0,9.37,0,0,5.35,18.74,0,5.35,0,1.34,1.34,0
3Month,0,0,0.32,0,0,0.32,0,0.96,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0.55,2.19,0,0,0,1.09,12.03,1.09,0.55,0,0.55,1.09,3.83,0.55,0.55,0,0,0.55,0.55,0.55,0,0,0.55
