stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,24.52,4.09,0,0,0,0,0,0,0,0,0,0,69.47,400.47,0,0,0,16.35,204.32,0,0,0,0,0,0,0,0,0
72hpf,36.37,1.07,0,1.07,1.07,0,0,0,0,0,0,0,0,0,2.14,1.07,215.03,0,38.51,0,37.44,20.33,0,1.07,5.35,0,0,1.07,0,0,0
21Day,5.35,1.34,0,4.02,1.34,0,0,1.34,0,0,0,1.34,4.02,0,1.34,5.35,107.08,0,108.42,0,5.35,2.68,0,0,2.68,4.02,0,0,2.68,0,4.02
3Month,0.32,0.96,0.64,3.52,0,0.32,0.64,10.88,0,3.2,1.92,0,0.32,0.32,0.96,8.32,26.24,0.32,8,0.32,0.32,0,0.32,0,0.32,0.32,6.4,0,0,2.88,1.28
22Month,0,2.19,0,0.55,0,0.55,0,75.44,2.73,15.85,2.19,1.09,0.55,0.55,1.09,24.6,10.39,0,5.47,0,0,0,0,0,0,0,3.83,0.55,0,0,0
