stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,2.14,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,0,14.98,0,1.07,0,0,33.16,5.35,0,0,0,0,67.4,96.28,0,0,0,0
21Day,6.69,0,1.34,14.72,5.35,0,2.68,0,1.34,0,0,2.68,2.68,1.34,0,20.08,1.34,18.74,0,1.34,16.06,5.35,13.39,4.02,0,1.34,257,986.5,1.34,0,0,2.68
3Month,0,0,0,4.48,0,0,0,0.32,0.32,0,1.92,0,0,0.32,0,0.32,0,0.32,0,0,0,0,0,0,2.24,0,1.28,0,0,0.96,0.32,0
22Month,0.55,0,0.55,2.19,0,0.55,0,0.55,1.64,0.55,8.2,0,0,1.09,0.55,0,0,1.64,0.55,0,0.55,0,0,0,1.09,0.55,203.36,2.73,0,0,0,0
