stage,Epithelial_cell,Erythrocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,4.09,0,0,0,0,4.09
72hpf,0,1.07,0,0,1.07,0
21Day,1.34,0,1.34,4.02,0,0
