stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,12.26,0,0,0,0,12.26,257.44,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,10.7,0,0,11.77,0,0,0,0,0,0,1.07,0,0,0,0,3.21,7.49,1.07,26.74,0,0,0,0,98.42,101.63,0,1.07,14.98,1.07,0,8.56,0,2.14,0,0,0
21Day,12.05,1.34,0,9.37,1.34,5.35,0,0,0,0,0,0,0,1.34,2.68,0,1.34,1.34,17.4,0,0,10.71,0,34.8,48.19,1.34,2.68,18.74,4.02,1.34,6.69,0,1.34,0,0,1.34
3Month,1.6,0.96,0.96,10.56,0,0,0,0.64,1.6,0,0,9.92,0.96,0.32,9.92,0.96,4.48,1.6,11.2,0.64,0,22.4,3.84,0.64,0.32,0.64,1.6,0.32,1.6,34.87,1.6,0.32,0.32,0.32,5.12,1.6
22Month,0,1.09,0.55,3.28,0.55,0,1.09,0.55,1.09,6.01,0,34.99,1.09,0.55,10.39,0,0,4.37,4.37,0,0.55,23.51,0,0,0.55,0.55,1.09,0,0,3.28,4.92,0.55,0,0,0,1.64
