stage,Cardiomyocyte,Endothelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia
24hpf,4.09,0,0,0,0,0,0,0,4.09,0,0,12.26,0,0
72hpf,0,0,0,0,0,0,0,0,3.21,0,3.21,0,0,1.07
21Day,0,0,0,0,0,0,0,0,0,2.68,1.34,0,0,0
3Month,0,0,0,0,0,0.32,0,0.32,0,0.32,0,0,0,0
22Month,0,1.09,0.55,1.09,0.55,9.84,0.55,3.83,0,1.09,0.55,0,0.55,0.55
