stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,12.26,53.12,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,7.49,1.07,0,3.21,1.07,5.35,0,0,0,0,0,0,0,0,2.14,13.91,1.07,8.56,0,0,750.99,39.58,6.42,2.14,0,9.63,0,0,9.63,0,1.07,4.28,0,0,0
21Day,4.02,1.34,1.34,6.69,1.34,6.69,0,1.34,0,0,0,0,2.68,1.34,0,1.34,0,10.71,0,4.02,251.64,10.71,2.68,2.68,0,1.34,8.03,1.34,5.35,1.34,2.68,2.68,0,0,1.34
3Month,0,0.64,0.32,5.12,0.32,0,0.64,0.32,1.28,0,4.16,0.96,0,1.28,0.32,2.24,2.56,2.88,0.64,0.32,10.24,0,8.32,0.64,0,0,0.32,9.6,0,0,0,0,0.32,4.48,0.96
22Month,0,1.64,0,3.28,0,0,0,1.64,1.64,1.09,19.13,0.55,1.09,3.83,0,1.09,1.09,2.73,0.55,0,13.12,0,12.57,3.83,0.55,0,0,1.64,3.83,1.09,0,0,0,0,2.19
