stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0
21Day,0,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0
3Month,0,0,0.64,0,1.92,0,0,0,0.32,0.32,0,0,0,0,0,0
22Month,0,0.55,2.73,0.55,9.84,0.55,1.09,1.09,0,0,0,0,0.55,0,0,0.55
