stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia
24hpf,4.09,8.17,0,0,0,0,0,4.09,12.26,0,183.89,0,0,0
72hpf,1.07,1.07,0,0,0,0,1.07,0,1.07,16.05,7.49,1.07,1.07,3.21
21Day,1.34,0,1.34,1.34,0,0,2.68,1.34,0,1.34,0,0,1.34,0
22Month,0,0,0,0,1.09,1.09,0,0,0,0,0,0,0,0
