stage,Cardiomyocyte,Hepatocyte,Neural_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell
72hpf,1.07,0,0,0,2.14,2.14
21Day,0,0,1.34,0,1.34,4.02
3Month,0,0.64,0,0,0,0
22Month,0,0.55,0,0.55,0,0
