stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,0,0,0,0
21Day,0,1.34,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0,0,0,0,1.34
3Month,0.32,1.92,0.32,1.92,0,2.24,1.6,0.96,1.28,0.64,0,3.2,0.32,0,0,0,0,0.32,9.28
22Month,3.83,1.64,1.09,14.21,1.09,18.59,1.64,8.2,1.09,0,0,11.48,1.09,0.55,0,0.55,0.55,0,7.65
