stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Primordial_germ_cell,T_cell
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,1.28,0.32,0,0.96,0.96,0.32,0,16.96,0.32,1.28,0,0.32,0,0.32
22Month,1.09,1.09,1.09,0,0.55,2.73,3.28,0,0.55,26.79,0.55,2.73,0.55,0,0.55,0.55
