stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,4.09,4.09,0,49.04,0,4.09,241.1,0,0,0,0,0
72hpf,0,1.07,1.07,0,0,1.07,1.07,1.07,0,11.77,0,1.07,2.14,0,1.07,0
21Day,0,0,0,0,0,0,1.34,0,0,13.39,2.68,0,0,0,0,0
3Month,0.32,0,0,0.32,0.32,0,0,0,0,0,0,0,0,0.32,0,0.32
22Month,0,0,0,1.64,0,0,0,0,0.55,0,0,0,0,0,0,0
